sku,nombre_producto,categoria_subcategoria,precio_lista,peso,proveedor,descripcion,stock_disponible,fecha_alta,activo
sku_00001,Ropa Mujer Purpose 865,Moda > Ropa Mujer,"$ 15,255.49",2.35 kg,"Coronado, Laureano y Marrero",Agent every development say quality throughout beautiful instead.,417.0,2019-02-03,1
SKU-00002,Ropa Mujer All 803,Moda > Ropa Mujer,"$ 9,093.43",20.88 kg,Ramos-Zamudio S.A. de C.V.,Despite measure ago current practice nation determine operation.,297.0,2023-07-19,1
P-00003,Televisores Table 576,Electrónica > Televisores,"$ 17,942.43",2.93 kg,"Proyectos Villarreal, Corrales y Nava",,454.0,2021-10-07,1
PROD-00004,Ropa Hombre True 263,Moda > Ropa Hombre,"$ 19,198.37",7.74 kg,"Nieto, Gaitán y Meraz",Serve civil institution everyone democratic shake bill.,334.0,2020-02-09,0
sku_00005,Accesorios Moda Husband 745,Moda > Accesorios Moda,"$ 3,584.69",23.21 kg,Robles S.A.,Grow gas enough analysis least by two bad.,140.0,2021-03-04,0
sku_00006,Jardín Finally 841,Hogar > Jardín,"$ 23,206.68",5.39 kg,Proyectos Lugo-Gamboa,Peace technology officer relate animal direction eye bag do big everyone player half have decide environment.,,2024-03-25,1
00007,Infantil Write 802,Moda > Infantil,"$ 8,922.79",4.97 kg,Despacho Jiménez y Robles,Participant commercial rock clear here writer policy news.,130.0,2021-07-22,1
sku_00008,Ropa Hombre Reveal 845,Moda > Ropa Hombre,"$ 11,800.29",12.2 kg,Grupo Cardona-Hurtado,,78.0,2019-05-07,0
00009,Laptops Garden 238,Electrónica > Laptops,"$ 14,366.02",6.4 kg,"Benítez, Espinosa y Palomino",Director allow firm environment decision wall then fire.,449.0,2022-04-28,1
00010,Accesorios Reality 694,Electrónica > Accesorios,"$ 20,128.54",5.57 kg,Industrias Manzanares y Guardado,How trip learn enter east no enjoy once today human despite young meeting before.,,2023-09-27,1
P-00011,Accesorios Anyone 345,Electrónica > Accesorios,"$ 13,812.98",15.9 kg,Grupo Peres-Grijalva,,40.0,2021-08-18,1
P-00012,Televisores Traditional 469,Electrónica > Televisores,"$ 7,278.56",20.15 kg,Loera y Garica S.C.,Check civil quite others his other life edge.,419.0,2019-05-29,1
sku_00013,Calzado On 169,Moda > Calzado,"$ 10,160.57",0.99 kg,Grupo Magaña-Mota,,,2019-07-10,1
SKU-00014,Decoración Traditional 583,Hogar > Decoración,"$ 19,044.77",29.73 kg,de Jesús-Ojeda,Quite boy those seem shoulder future fall.,110.0,2024-04-01,1
00015,Cocina Coach 556,Hogar > Cocina,"$ 8,090.61",6.16 kg,Proyectos Luna y Berríos,About reveal rest will seven medical blood personal success medical current hear claim well.,186.0,2021-11-16,1
P-00016,Laptops Win 335,Electrónica > Laptops,"$ 11,602.97",27.44 kg,Sanches-Benavides S.C.,Truth out major born guy world southern dream drive note bad rule staff within mouth.,164.0,2021-07-02,1
SKU-00017,Ropa Mujer Car 369,Moda > Ropa Mujer,"$ 23,266.30",21.9 kg,"Escamilla, Navarrete y Zúñiga",Process water close month parent who up sense ready.,232.0,2019-06-28,1
00018,Calzado Sell 248,Moda > Calzado,"$ 23,362.27",20.36 kg,"Despacho Baeza, Montaño y Gallardo",Human public health tonight later easy ask again network open according.,487.0,2020-05-22,1
P-00019,Muebles Second 543,Hogar > Muebles,"$ 9,104.73",7.22 kg,"Correa, Solorio y Tapia",Arrive attack all form method everything magazine much rich think office drug list imagine behind probably.,332.0,2021-09-23,1
PROD-00020,Jardín Health 436,Hogar > Jardín,"$ 14,083.26",15.79 kg,Castañeda-Mata,In tell approach president position art rock song body court movie cell contain.,248.0,2023-04-25,1
P-00021,Muebles Maintain 554,Hogar > Muebles,"$ 15,306.22",22.89 kg,Escobedo e Hijos,Themselves away space task better present music address behavior send.,454.0,2020-03-15,1
PROD-00022,Accesorios Moda Economic 822,Moda > Accesorios Moda,,14.69 kg,"Proyectos Vigil, Ríos y Arriaga",Image loss ten total clearly able hospital unit size.,293.0,2023-07-22,0
sku_00023,Accesorios Moda Feeling 809,Moda > Accesorios Moda,"$ 19,251.34",1.0 kg,Alvarez S.A.,Recent room situation product main couple design around save article finish anyone live.,360.0,2019-12-17,1
SKU-00024,Televisores Wide 747,Electrónica > Televisores,"$ 11,381.49",14.16 kg,Paz S.A. de C.V.,Church whether bag control organization push dog build three east organization people information on mission.,,2020-09-04,1
P-00025,Muebles Worry 742,Hogar > Muebles,"$ 8,082.59",0.32 kg,Grupo Madera-Soto,Daughter respond draw how public feel first sell authority leader your.,211.0,2022-01-16,1
PROD-00026,Jardín Black 726,Hogar > Jardín,"$ 19,333.57",13.36 kg,Despacho Berríos y Véliz,Mrs media car give attention each expect just.,143.0,2020-08-22,1
00027,Laptops Of 185,Electrónica > Laptops,"$ 22,404.84",3.09 kg,Fajardo-Ayala,Particularly would pressure account stage federal professional voice care break blood.,57.0,2022-07-20,1
P-00028,Ropa Hombre On 995,Moda > Ropa Hombre,"$ 5,562.05",9.24 kg,"Corporacin Dueñas, Marroquín y Saldivar",Evening painting response data plant enough major town suffer.,72.0,2021-05-05,1
SKU-00029,Smartphones Best 909,Electrónica > Smartphones,"$ 13,876.54",15.27 kg,"Regalado, Orosco y Gonzales",Stop analysis four capital woman claim kind relationship night born war real chance.,186.0,2023-11-22,1
sku_00030,Ropa Mujer Also 681,Moda > Ropa Mujer,"$ 11,548.52",26.16 kg,Terán-Calderón,Old challenge camera final together someone team together decide economic bill sister.,,2021-12-28,1
SKU-00031,Jardín Usually 947,Hogar > Jardín,"$ 8,993.56",16.12 kg,"González, Naranjo y Fernández",Wind see understand door class son computer include conference under site in prove.,11.0,2021-07-30,1
00032,Limpieza Simple 491,Hogar > Limpieza,"$ 17,736.88",4.97 kg,"Proyectos Guerrero, Delgado y Quintana",Environment skin blue the teach develop staff least figure somebody.,297.0,2019-12-01,1
PROD-00033,Audio Drive 683,Electrónica > Audio,"$ 2,892.00",2.44 kg,Hernádez S.C.,Age cover foreign ten whom evidence political hundred wonder movie.,266.0,2022-11-09,0
SKU-00034,Audio Wrong 651,Electrónica > Audio,"$ 24,215.62",1.85 kg,Matos-Abreu,Boy wife condition while enter board its.,453.0,2019-12-19,1
PROD-00035,Laptops Shoulder 955,Electrónica > Laptops,"$ 8,834.86",5.66 kg,Mota-Menéndez S.A. de C.V.,Job worker break tonight couple and job mind southern rather vote say.,465.0,2023-07-25,1
sku_00036,Accesorios Moda Debate 884,Moda > Accesorios Moda,"$ 13,558.98",17.2 kg,Armas-Rosario,Issue we TV perhaps professional by tonight medical project for recent never.,480.0,2022-01-13,0
SKU-00037,Calzado Dark 949,Moda > Calzado,"$ 8,062.71",0.56 kg,Valles-Collado S.A.,Professor here security community notice image street fight decision size parent focus kid.,212.0,2023-05-31,1
P-00038,Infantil Republican 518,Moda > Infantil,"$ 21,033.90",18.72 kg,Rivas-Barrios S.C.,Memory soldier where save probably exist professional people behavior weight.,,2020-01-06,1
PROD-00039,Televisores Easy 862,Electrónica > Televisores,"$ 7,804.36",5.49 kg,Corporacin Rocha-Camacho,Different current agency each little sure authority increase picture create recent.,287.0,2023-06-04,1
SKU-00040,Televisores Miss 353,Electrónica > Televisores,"$ 21,460.42",5.66 kg,Monroy-Loya,During prevent accept seem show blood interesting compare when military anyone eat summer.,86.0,2020-11-01,1
sku_00041,Calzado Loss 948,Moda > Calzado,"$ 23,985.46",25.19 kg,Ávalos-Quintana y Asociados,Soon property write other wear through partner rest measure.,461.0,2019-02-13,1
PROD-00042,Infantil Then 316,Moda > Infantil,"$ 2,878.94",24.22 kg,"Laboratorios Valdés, Alcaraz y Carrasco",,2.0,2019-10-10,1
